geneID	Description	Pathway
MTR_4g131180	NADP-dependent glyceraldehyde-3-phosphate dehydrogenase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g132700	pyrophosphate-fructose-6-phosphate 1-phosphotransferase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_4g134290	6-phosphofructokinase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g009000	hexokinase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g009670	glucose-6-phosphate 1-epimerase-like protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g012390	L-lactate dehydrogenase A-like protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g014140	pyruvate kinase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g020640	aldose 1-epimerase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g030620	phosphoenolpyruvate carboxykinase [ATP] protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g032570	6-phosphofructokinase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g036600	pyruvate dehydrogenase complex E1 alpha subunit	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g045710	zinc-binding alcohol dehydrogenase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g046610	pyruvate decarboxylase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g046620	pyruvate decarboxylase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g065880	glucose-6-phosphate isomerase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g069050	fructose-bisphosphate aldolase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g069055	fructose-bisphosphate aldolase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g087710	zinc-binding alcohol dehydrogenase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g096670	fructose-bisphosphate aldolase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g096970	carboxy-terminal TIM barrel domain enolase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_5g430730	phosphoenolpyruvate carboxykinase [ATP] protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_6g004020	pyruvate kinase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_6g004520	aldose 1-epimerase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_6g009330	glucose-6-phosphate isomerase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_6g011550	aldose 1-epimerase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_6g011560	aldose 1-epimerase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_6g018680	phosphoglycerate kinase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_6g022630	glyceraldehyde-3-phosphate dehydrogenase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_6g034195	pyruvate kinase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_6g035305	fructose-1,6-bisphosphatase, cytosolic-like protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_6g060570	phosphopyruvate hydratase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_6g068930	zinc-binding alcohol dehydrogenase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_6g069630	aldose 1-epimerase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_6g088795	hexokinase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_6g090130	6-phosphofructokinase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_7g005380	pyruvate dehydrogenase E1 beta subunit	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_7g009250	pyruvate dehydrogenase E1 component subunit beta	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_7g009930	aldose 1-epimerase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_7g063580	aldo/keto reductase family oxidoreductase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_7g066120	fructose-1,6-bisphosphatase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_7g068320	zinc-binding alcohol dehydrogenase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_7g068330	zinc-binding alcohol dehydrogenase family protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_7g069500	pyruvate decarboxylase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_7g069540	pyruvate decarboxylase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_7g070500	aldo/keto reductase family oxidoreductase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_7g074570	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_7g084850	acetate-CoA ligase	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
MTR_7g099040	Zn-dependent alcohol dehydrogenase family, class III protein	Glycolysis / Gluconeogenesis - Medicago truncatula (barrel medic)	http://rest.kegg.jp/get/mtr00010/image
