A0A072TKK8	MTR_0019s0060
A0A072TIL7	MTR_0019s0070
A0A072TV25	MTR_0019s0080
A0A072TJQ7	MTR_0019s0090
A0A072TIY8	MTR_0019s0100
A0A072TKL0	MTR_0019s0110
A0A072TIL9	MTR_0019s0120
A0A072TJR6	MTR_0019s0130
A0A072TIZ1	MTR_0019s0150
A0A072TKL5	MTR_0019s0160
A0A072TIM6	MTR_0019s0170
A0A072TV34	MTR_0019s0180
A0A072TJR9	MTR_0019s0190
A0A072TIZ9	MTR_0019s0210
A0A072TKL8	MTR_0019s0270
A0A072TIN6	MTR_0019s0290
A0A072TV37	MTR_0019s0310
A0A072TJS4	MTR_0019s0320
A0A072TJ03	MTR_0019s0330
A0A072TKM3	MTR_0019s0340
A0A072TKJ1	MTR_0020s0020
A0A072TIK3	MTR_0020s0050
A0A072TV18	MTR_0020s0100
G7ZV36	MTR_0020s0120
G7ZV34	MTR_0020s0130
A0A072TIK9	MTR_0020s0150
G7ZV32	MTR_0020s0170
A0A072TJL7	MTR_0021s0130
A0A072TUX5	MTR_0021s0120
A0A072TIW4	MTR_0021s0140
A0A072TKH6	MTR_0021s0160
A0A072TIJ1	MTR_0021s0190
A0A072TUZ5	MTR_0021s0200
A0A072TJM2	MTR_0021s0240
A0A072TIX1	MTR_0021s0250
A0A072TKI6	MTR_0021s0270
A0A072TIJ8	MTR_0021s0280
A0A072TV11	MTR_0021s0360
A0A072TJN3	MTR_0021s0370
A0A072TIX7	MTR_0021s0380
A0A072TIT7	MTR_0022s0020
A0A072TKA3	MTR_0022s0200
A0A072TIG0	MTR_0022s0280
A0A072TUW4	MTR_0022s0290
G7ZW11	MTR_0022s0300
G7ZW09	MTR_0022s0330
G7ZW01	MTR_0022s0360
A0A072TIG4	MTR_0022s0370
A0A072TUX0	MTR_0022s0430
A0A072TIU6	MTR_0022s0450
A0A072TKB9	MTR_0022s0460
A0A072TIH1	MTR_0022s0480
A0A072TUV4	MTR_0023s0130
A0A072TUV4	MTR_0023s0160
A0A072TJG3	MTR_0023s0210
A0A072TIT4	MTR_0023s0240
A0A072TKA1	MTR_0023s0260
A0A072TIE9	MTR_0023s0280
A0A072TUW0	MTR_0023s0340
A0A072TJH0	MTR_0023s0370
A0A072TIQ8	MTR_0024s0020
A0A072TJD4	MTR_0024s0010
A0A072TIC2	MTR_0024s0060
A0A072TK78	MTR_0024s0040
A0A072TUS6	MTR_0024s0070
A0A072TJE2	MTR_0024s0080
A0A072TIR1	MTR_0024s0090
A0A072TK80	MTR_0024s0100
A0A072TIC6	MTR_0024s0110
A0A072TUT1	MTR_0024s0120
A0A072TJE7	MTR_0024s0130
A0A072TIR3	MTR_0024s0140
A0A072TK83	MTR_0024s0150
A0A072TIC9	MTR_0024s0160
A0A072TUT6	MTR_0024s0170
A0A072TJF1	MTR_0024s0180
A0A072TIR8	MTR_0024s0190
A0A072TK88	MTR_0024s0220
A0A072TUU2	MTR_0024s0240
A0A072TJF6	MTR_0024s0250
A0A072TIS5	MTR_0024s0260
A0A072TIE0	MTR_0024s0300
A0A072TUU8	MTR_0024s0310
A0A072TJF9	MTR_0024s0320
A0A072TIS9	MTR_0024s0330
A0A072TK99	MTR_0024s0340
A0A072TJC8	MTR_0025s0030
A0A072TIQ5	MTR_0025s0050
A0A072TK75	MTR_0025s0060
A0A072TUS0	MTR_0025s0110
B7FH95	MTR_0026s0010
A0A072TUR0	MTR_0026s0160
A0A072TJB7	MTR_0026s0190
A0A072TIQ3	MTR_0026s0200
A0A072TK64	MTR_0026s0210
A0A072TIB5	MTR_0026s0220
A0A072TUR5	MTR_0026s0230
A0A072TUP1	MTR_0027s0010
A0A072TJ96	MTR_0027s0030
A0A072TIN7	MTR_0027s0040
A0A072TK54	MTR_0027s0090
A0A072TI99	MTR_0027s0100
A0A072TUP7	MTR_0027s0120
A0A072TJA4	MTR_0027s0130
A0A072TIP2	MTR_0027s0140
A0A072TK59	MTR_0027s0180
A0A072TIA6	MTR_0027s0200
A0A072TUQ5	MTR_0027s0220
I3S4N2	MTR_0027s0230
G7KHF7	MTR_0027s0250
Q6XD74	MTR_0027s0260
A0A072TUN0	MTR_0028s0030
A0A072TI88	MTR_0028s0020
A0A072TJ72	MTR_0028s0090
A0A072TK46	MTR_0028s0170
A0A072TI91	MTR_0028s0180
A0A072TUN5	MTR_0028s0210
A0A072TJ89	MTR_0028s0230
A0A072TIN3	MTR_0028s0240
A0A072TK49	MTR_0028s0290
A0A072TI95	MTR_0028s0320
A0A072TJ56	MTR_0029s0020
A0A072TIL4	MTR_0029s0040
A0A072TK31	MTR_0029s0050
G7ZUD9	MTR_0029s0060
G7ZUE1	MTR_0029s0090
A0A072TJ60	MTR_0029s0100
G7ZUE4	MTR_0029s0120
A0A072TK35	MTR_0029s0130
G7ZUE5	MTR_0029s0140
G7ZUE6	MTR_0029s0160
G7ZUE7	MTR_0029s0180
G7ZUE8	MTR_0029s0220
A0A072TK42	MTR_0029s0230
G7ZUG1	MTR_0030s0050
G7ZUG2	MTR_0030s0060
G7ZUG3	MTR_0030s0070
G7ZUG4	MTR_0030s0080
G7ZUG5	MTR_0030s0090
A0A072TIJ6	MTR_0030s0110
A0A072TK05	MTR_0030s0120
A0A072TI36	MTR_0030s0130
G7ZUG6	MTR_0030s0140
A0A072TJ29	MTR_0030s0150
G7ZUG7	MTR_0030s0160
G7ZUG8	MTR_0030s0170
G7ZUG9	MTR_0030s0190
A0A072TUK0	MTR_0030s0200
G7ZUH1	MTR_0030s0260
A0A072TIK6	MTR_0030s0270
A0A072TK13	MTR_0030s0280
A0A072TI49	MTR_0030s0290
A0A072TUK5	MTR_0030s0310
A0A072TJ46	MTR_0030s0320
A0A072TIK7	MTR_0030s0330
A0A072TK17	MTR_0030s0340
G7ZUH4	MTR_0030s0360
G7ZUH5	MTR_0030s0370
A0A072TJ48	MTR_0030s0380
A0A072TIK8	MTR_0030s0390
G7ZUH6	MTR_0030s0400
A0A072TI76	MTR_0030s0420
A0A072TUL6	MTR_0030s0430
G7ZUF9	MTR_0030s0030
A0A072TJ13	MTR_0030s0040
A0A072TI17	MTR_0031s0030
A0A072TUH9	MTR_0031s0050
A0A072TJ07	MTR_0031s0060
A0A072TII2	MTR_0031s0120
A0A072TJZ5	MTR_0031s0130
A0A072TI21	MTR_0031s0140
A0A072TIZ5	MTR_0032s0020
A0A072TIG3	MTR_0032s0030
A0A072TJY6	MTR_0032s0040
A0A072TI13	MTR_0032s0050
A0A072TUG8	MTR_0032s0060
A0A072TIZ7	MTR_0032s0070
A0A072TIG8	MTR_0032s0080
A0A072TJY9	MTR_0032s0090
A0A072TI14	MTR_0032s0100
A0A072TUH4	MTR_0032s0120
I3SP41	MTR_0032s0170
A0A072TIH8	MTR_0032s0190
A0A072TJZ1	MTR_0032s0260
A0A072TI08	MTR_0034s0060
A0A072TUF7	MTR_0034s0100
A0A072TIZ3	MTR_0034s0110
A0A072TIF9	MTR_0034s0120
A0A072TJY4	MTR_0034s0130
A0A072TI12	MTR_0034s0170
A0A072TUG3	MTR_0034s0190
A0A072TUF0	MTR_0035s0050
A0A072TIY9	MTR_0035s0070
A0A072TIF5	MTR_0035s0100
A0A072TJY1	MTR_0035s0150
A0A072TJU4	MTR_0036s0020
A0A072TIC0	MTR_0036s0010
A0A072THY5	MTR_0036s0040
A0A072TUC7	MTR_0036s0050
A0A072TIW2	MTR_0036s0070
A0A072TID1	MTR_0036s0090
A0A072TJV5	MTR_0036s0110
A0A072THZ0	MTR_0036s0130
A0A072TUD3	MTR_0036s0140
A0A072TIW7	MTR_0036s0150
A0A072TID7	MTR_0036s0160
A0A072TJV8	MTR_0036s0210
A0A072THZ4	MTR_0036s0220
A0A072TUE0	MTR_0036s0240
A0A072TIX0	MTR_0036s0250
A0A072TIE3	MTR_0036s0260
A0A072TJW2	MTR_0036s0270
A0A072THZ9	MTR_0036s0280
