V7CWI1	PHAVU_001G056800g
V7CV75	PHAVU_001G056900g
V7CVI3	PHAVU_001G057000g
V7CWI8	PHAVU_001G057100g
V7CV79	PHAVU_001G057200g
V7CT32	PHAVU_001G057300g
V7CVI7	PHAVU_001G057400g
V7CSX8	PHAVU_001G0575000
V7CWJ1	PHAVU_001G0575001
V7CV85	PHAVU_001G057600g
V7CT37	PHAVU_001G057700g
V7CVJ3	PHAVU_001G057800g
V7CWJ5	PHAVU_001G057900g
V7CV87	PHAVU_001G058000g
V7CWJ9	PHAVU_001G058100g
V7CSY5	PHAVU_001G058200g
V7CV91	PHAVU_001G058300g
V7CT47	PHAVU_001G058400g
V7CVJ8	PHAVU_001G058500g
V7CWK3	PHAVU_001G058600g
V7CV97	PHAVU_001G058700g
V7CWK8	PHAVU_001G058800g
V7CSZ4	PHAVU_001G058900g
V7CVA2	PHAVU_001G059000g
V7CT54	PHAVU_001G059100g
V7CVK6	PHAVU_001G059200g
V7CWL2	PHAVU_001G059300g
V7CVA7	PHAVU_001G059400g
V7CT60	PHAVU_001G059500g
V7CVL1	PHAVU_001G059600g
V7CWL7	PHAVU_001G059700g
V7CT03	PHAVU_001G059800g
V7CVL8	PHAVU_001G059900g
V7CT08	PHAVU_001G060000g
V7CT68	PHAVU_001G0601001
V7CVM3	PHAVU_001G060200g
V7CWM6	PHAVU_001G060300g
V7CT12	PHAVU_001G060400g
V7CVB9	PHAVU_001G060500g
V7CVM8	PHAVU_001G060600g
V7CWN0	PHAVU_001G060700g
V7CT22	PHAVU_001G060800g
V7CVN7	PHAVU_001G0609000
V7CVC9	PHAVU_001G0609001
V7CWP2	PHAVU_001G061000g
V7CT25	PHAVU_001G061100g
V7CVD3	PHAVU_001G061200g
V7CT85	PHAVU_001G061300g
V7CVP2	PHAVU_001G061400g
V7CWP5	PHAVU_001G061500g
V7CT31	PHAVU_001G061600g
V7CT90	PHAVU_001G061700g
V7CVP8	PHAVU_001G061800g
V7CWQ0	PHAVU_001G061900g
V7CT36	PHAVU_001G062000g
V7CVE1	PHAVU_001G062100g
V7CT94	PHAVU_001G062200g
