geneID	Description	Pathway	Pathway_map
431629	COX7C; cytochrome c oxidase subunit 7C, mitochondrial	Oxidative phosphorylation - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00190/image
431629	COX7C; cytochrome c oxidase subunit 7C, mitochondrial	Metabolic pathways - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga01100/image
431629	COX7C; cytochrome c oxidase subunit 7C, mitochondrial	Cardiac muscle contraction - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04260/image
431623	RAD23B; UV excision repair protein RAD23 homolog B isoform X4	Nucleotide excision repair - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga03420/image
431623	RAD23B; UV excision repair protein RAD23 homolog B isoform X4	Protein processing in endoplasmic reticulum - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04141/image
431620	THAP1; THAP domain-containing protein 1	-	-
431626	ANKRD34B; ankyrin repeat domain-containing protein 34B isoform X1	-	-
431627	ACOT12; acyl-coenzyme A thioesterase 12 isoform X1	Pyruvate metabolism - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00620/image
420819	GPLD1; phosphatidylinositol-glycan-specific phospholipase D	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00563/image
420819	GPLD1; phosphatidylinositol-glycan-specific phospholipase D	Metabolic pathways - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga01100/image
420818	ALDH5A1; succinate-semialdehyde dehydrogenase, mitochondrial	Alanine, aspartate and glutamate metabolism - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00250/image
420818	ALDH5A1; succinate-semialdehyde dehydrogenase, mitochondrial	Butanoate metabolism - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga00650/image
420818	ALDH5A1; succinate-semialdehyde dehydrogenase, mitochondrial	Metabolic pathways - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga01100/image
420817	ATP9B; probable phospholipid-transporting ATPase IIB isoform X1	-	-
101747905	platelet glycoprotein VI-like	-	-
420815	NFATC1; nuclear factor of activated T-cells, cytoplasmic 1 isoform X9	MAPK signaling pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04010/image
420815	NFATC1; nuclear factor of activated T-cells, cytoplasmic 1 isoform X9	Cellular senescence - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04218/image
420815	NFATC1; nuclear factor of activated T-cells, cytoplasmic 1 isoform X9	Wnt signaling pathway - Gallus gallus (chicken)	http://rest.kegg.jp/get/gga04310/image
