geneID	Description	Pathway	Pathway_map
4329101	probable aminotransferase TAT2	Biosynthesis of amino acids - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01230/image
4329106	putative pentatricopeptide repeat-containing protein At5g43820	-	-
4329107	protein DEHYDRATION-INDUCED 19 homolog 4	-	-
4348274	protein DETOXIFICATION 42	-	-
4329109	uncharacterized protein LOC4329109 isoform X1	-	-
4347498	uncharacterized protein LOC4347498	-	-
4352930	uncharacterized protein LOC4352930	-	-
4352932	structural maintenance of chromosomes protein 1	-	-
4347494	putative F-box/LRR-repeat protein At3g28410 isoform X1	-	-
4347495	putative quinone-oxidoreductase homolog, chloroplastic	-	-
4347496	putative quinone-oxidoreductase homolog, chloroplastic	-	-
4347497	leucine--tRNA ligase, cytoplasmic	Aminoacyl-tRNA biosynthesis - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00970/image
4347490	probable glucan endo-1,3-beta-glucosidase A6 isoform X1	-	-
4347491	putative quinone-oxidoreductase homolog, chloroplastic	-	-
4347492	F-box/FBD/LRR-repeat protein At1g13570	-	-
4347493	uncharacterized protein LOC4347493	-	-
107281267	uncharacterized protein LOC107281267	-	-
9268552	probable esterase PIR7A isoform X2	-	-
4340148	rosmarinate synthase	-	-
107281262	protein ASPARTIC PROTEASE IN GUARD CELL 2-like	-	-
107281263	uncharacterized protein LOC107281263	-	-
107281260	uncharacterized protein LOC107281260	-	-
107281261	protein ASPARTIC PROTEASE IN GUARD CELL 2-like	-	-
4340143	uncharacterized protein LOC4340143	Homologous recombination - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa03440/image
4340142	cysteine synthase-like	Cysteine and methionine metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00270/image
4340142	cysteine synthase-like	Sulfur metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00920/image
4340142	cysteine synthase-like	Metabolic pathways - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01100/image
4340142	cysteine synthase-like	Biosynthesis of secondary metabolites - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01110/image
4340142	cysteine synthase-like	Carbon metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01200/image
4340142	cysteine synthase-like	Biosynthesis of amino acids - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa01230/image
4340140	cysteine synthase-like	Cysteine and methionine metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00270/image
4340140	cysteine synthase-like	Sulfur metabolism - Oryza sativa japonica (Japanese rice) (RefSeq)	http://rest.kegg.jp/get/osa00920/image
