geneID	Description	Pathway	Pathway_map
100827159	sphingosine-1-phosphate lyase	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
100827158	arginyl-tRNA--protein transferase 2 isoform X2	-	-
100827155	dual specificity protein kinase shkB	-	-
100827154	uncharacterized protein LOC100827154	-	-
100827157	ribonuclease P protein subunit p29	Ribosome biogenesis in eukaryotes - Brachypodium distachyon	http://rest.kegg.jp/get/bdi03008/image
100827157	ribonuclease P protein subunit p29	RNA transport - Brachypodium distachyon	http://rest.kegg.jp/get/bdi03013/image
100827151	inactive leucine-rich repeat receptor-like protein kinase CORYNE	-	-
100827150	zinc finger CCCH domain-containing protein 62	-	-
100827153	probable glucuronosyltransferase Os05g0559600	-	-
100827152	late embryogenesis abundant protein Lea14-A	-	-
100844548	receptor-like protein kinase 5	-	-
100837147	uncharacterized protein LOC100837147	-	-
100837146	uncharacterized protein LOC100837146 isoform X5	-	-
100837145	histone-binding protein MSI1 homolog	-	-
100837144	uncharacterized protein LOC100837144 isoform X1	-	-
100837141	peroxidase 2	Phenylpropanoid biosynthesis - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00940/image
100837141	peroxidase 2	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
100837141	peroxidase 2	Biosynthesis of secondary metabolites - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01110/image
100837140	probable receptor-like protein kinase At1g49730	-	-
100837149	protein LURP-one-related 11	-	-
100837148	probable LRR receptor-like serine/threonine-protein kinase At3g47570	-	-
100844918	uncharacterized protein LOC100844918	-	-
100844919	citrate-binding protein	-	-
112270049	uncharacterized LOC112270049	-	-
100844912	nudix hydrolase 13, mitochondrial isoform X1	-	-
100844910	glutaredoxin-C15	-	-
100844916	GTPase activating protein 1	-	-
100844917	uncharacterized protein LOC100844917	-	-
100844915	MEIOTIC F-BOX protein MOF	-	-
100821418	sucrose synthase 7	Starch and sucrose metabolism - Brachypodium distachyon	http://rest.kegg.jp/get/bdi00500/image
100821418	sucrose synthase 7	Metabolic pathways - Brachypodium distachyon	http://rest.kegg.jp/get/bdi01100/image
