geneID	Description	Pathway	Pathway_map
Dmel_CG12559	rl; rolled, isoform C	Autophagy - animal - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04140/image
Dmel_CG12559	rl; rolled, isoform C	mTOR signaling pathway - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04150/image
Dmel_CG12559	rl; rolled, isoform C	Apoptosis - fly - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04214/image
Dmel_CG12559	rl; rolled, isoform C	Dorso-ventral axis formation - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04320/image
Dmel_CG12559	rl; rolled, isoform C	TGF-beta signaling pathway - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04350/image
Dmel_CG12559	rl; rolled, isoform C	AGE-RAGE signaling pathway in diabetic complications - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04933/image
Dmel_CR45243	CR45243	-	-
Dmel_CG16799	CG16799; uncharacterized protein, isoform B	-	-
Dmel_CG17639	GstD11; glutathione S transferase D11, isoform B	Glutathione metabolism - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00480/image
Dmel_CG17639	GstD11; glutathione S transferase D11, isoform B	Metabolism of xenobiotics by cytochrome P450 - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00980/image
Dmel_CG17639	GstD11; glutathione S transferase D11, isoform B	Drug metabolism - cytochrome P450 - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00982/image
Dmel_CG17639	GstD11; glutathione S transferase D11, isoform B	Drug metabolism - other enzymes - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00983/image
Dmel_CG17632	bw; brown, isoform D	-	-
Dmel_CG17633	CG17633; uncharacterized protein	-	-
Dmel_CG17636	CG17636; uncharacterized protein, isoform A	Taurine and hypotaurine metabolism - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00430/image
Dmel_CG17636	CG17636; uncharacterized protein, isoform A	Glutathione metabolism - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00480/image
Dmel_CG17636	CG17636; uncharacterized protein, isoform A	Arachidonic acid metabolism - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00590/image
Dmel_CG17636	CG17636; uncharacterized protein, isoform A	Metabolic pathways - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme01100/image
Dmel_CG17637	CG17637; uncharacterized protein	-	-
Dmel_CG13708	CG13708; uncharacterized protein, isoform B	-	-
Dmel_CG13702	AstC-R2; allatostatin C receptor 2, isoform E	-	-
Dmel_CG13700	CG13700; uncharacterized protein, isoform C	-	-
Dmel_CG13701	skl; sickle	Apoptosis - fly - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04214/image
Dmel_CG13707	CG13707; uncharacterized protein, isoform D	-	-
Dmel_CG13704	CG13704; uncharacterized protein	-	-
Dmel_CG13705	CG13705; uncharacterized protein	-	-
Dmel_CG42747	CG42747; uncharacterized protein	-	-
Dmel_CG30486	CG30486; uncharacterized protein	-	-
Dmel_CG12196	egg; eggless	Lysine degradation - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00310/image
Dmel_CG12617	CG12617; uncharacterized protein, isoform B	-	-
Dmel_CG42543	Mp; multiplexin, isoform B	-	-
Dmel_CG9828	DnaJ-H; DnaJ homolog, isoform C	Protein processing in endoplasmic reticulum - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04141/image
Dmel_CG31800	CG31800; uncharacterized protein	-	-
Dmel_CG17759	Galphaq; G protein alpha q subunit, isoform A	Phototransduction - fly - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme04745/image
Dmel_CG42768	Msp300; Muscle-specific protein 300 kDa, isoform F	-	-
Dmel_CG17754	CG17754; uncharacterized protein, isoform E	-	-
Dmel_CG17751	CG17751; uncharacterized protein	-	-
Dmel_CG17753	Ccs; copper chaperone for superoxide dismutase, isoform B	-	-
Dmel_CG17752	CG17752; uncharacterized protein	-	-
Dmel_CG9915	CG9915; uncharacterized protein, isoform B	-	-
Dmel_CG9914	CG9914; uncharacterized protein, isoform B	Pentose and glucuronate interconversions - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme00040/image
Dmel_CG9914	CG9914; uncharacterized protein, isoform B	Metabolic pathways - Drosophila melanogaster (fruit fly)	http://rest.kegg.jp/get/dme01100/image
Dmel_CG9917	CG9917; uncharacterized protein, isoform B	-	-
Dmel_CG9916	Cyp1; cyclophilin 1	-	-
Dmel_CG9911	CG9911; uncharacterized protein, isoform A	-	-
Dmel_CR46254	CR46254	-	-
Dmel_CG9913	Kif19A; kinesin family member 19A	-	-
Dmel_CR46256	CR46256	-	-
Dmel_CR46259	CR46259	-	-
Dmel_CR46258	CR46258	-	-
Dmel_CG9919	CG9919; uncharacterized protein, isoform B	-	-
