geneID	Description	Pathway	Pathway_map
PHAVU_003G232200g	hypothetical protein	-	-
PHAVU_003G022000g	hypothetical protein	-	-
PHAVU_003G096300g	hypothetical protein	-	-
PHAVU_007G203100g	hypothetical protein	-	-
PHAVU_007G037500g	hypothetical protein	-	-
PHAVU_003G241800g	hypothetical protein	-	-
PHAVU_001G160800g	hypothetical protein	-	-
PHAVU_006G095500g	hypothetical protein	-	-
PHAVU_002G234300g	hypothetical protein	-	-
PHAVU_003G023800g	hypothetical protein	-	-
PHAVU_004G151800g	hypothetical protein	Cyanoamino acid metabolism - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00460/image
PHAVU_004G151800g	hypothetical protein	Starch and sucrose metabolism - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00500/image
PHAVU_004G151800g	hypothetical protein	Phenylpropanoid biosynthesis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu00940/image
PHAVU_004G151800g	hypothetical protein	Metabolic pathways - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01100/image
PHAVU_004G151800g	hypothetical protein	Biosynthesis of secondary metabolites - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu01110/image
PHAVU_003G217300g	hypothetical protein	-	-
PHAVU_010G131100g	hypothetical protein	-	-
PHAVU_006G047600g	hypothetical protein	RNA transport - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu03013/image
PHAVU_008G213600g	hypothetical protein	-	-
PHAVU_002G278400g	hypothetical protein	-	-
PHAVU_004G025100g	hypothetical protein	-	-
PHAVU_003G229700g	hypothetical protein	-	-
PHAVU_003G084100g	hypothetical protein	-	-
PHAVU_009G046700g	hypothetical protein	-	-
PHAVU_009G193200g	hypothetical protein	-	-
PHAVU_007G060000g	hypothetical protein	-	-
PHAVU_007G094900g	hypothetical protein	-	-
PHAVU_002G091900g	hypothetical protein	-	-
PHAVU_008G179700g	hypothetical protein	-	-
PHAVU_004G120300g	hypothetical protein	Ubiquitin mediated proteolysis - Phaseolus vulgaris (common bean)	http://rest.kegg.jp/get/pvu04120/image
PHAVU_005G078400g	hypothetical protein	-	-
PHAVU_010G0827001	hypothetical protein	-	-
PHAVU_010G0827000	hypothetical protein	-	-
